GCA_protein_ID,GCA_gene_ID,GCF_protein_ID,GCF_gene_ID,common_name,product,Orthogroup
ABJ14975.1,PA14_00200,WP_003097293.1,PA14_RS00095,def,peptide deformylase,OG0004854
ABJ14976.1,PA14_00210,WP_003097294.1,PA14_RS00100,PA14_RS00100,LysM peptidoglycan-binding domain-containing protein,OG0004855
ABJ14977.1,PA14_00230,WP_003142205.1,PA14_RS00105,dprA,DNA-processing protein DprA,OG0004856
ABJ14978.1,PA14_00240,WP_003097300.1,PA14_RS00110,PA14_RS00110,Sua5/YciO/YrdC/YwlC family protein,OG0004857
ABJ14979.1,PA14_00250,WP_003097303.1,PA14_RS00115,PA14_RS00115,NADPH:quinone reductase,OG0004858
ABJ14980.1,PA14_00280,WP_003097311.1,PA14_RS00120,hemF,oxygen-dependent coproporphyrinogen oxidase,OG0004859
ABJ14981.1,PA14_00290,WP_003097314.1,PA14_RS00125,aroE,shikimate dehydrogenase,OG0004860
ABJ14982.1,PA14_00300,WP_003097316.1,PA14_RS00130,PA14_RS00130,phospholipase,OG0004861
ABJ14983.1,PA14_00310,WP_003142206.1,PA14_RS00135,PA14_RS00135,peptidylprolyl isomerase,OG0004862
ABJ14984.1,PA14_00320,WP_003131389.1,PA14_RS00140,PA14_RS00140,hypothetical protein,OG0004863
ABJ14985.1,PA14_00340,WP_003097320.1,PA14_RS00145,PA14_RS00145,SulP family inorganic anion transporter,OG0004864
ABJ14986.1,PA14_00360,WP_003097322.1,PA14_RS00150,PA14_RS00150,choline ABC transporter substrate-binding protein,OG0000225
ABJ14987.1,PA14_00380,WP_003142209.1,PA14_RS00155,betC,choline-sulfatase,OG0004865
ABJ14988.1,PA14_00400,WP_003111194.1,PA14_RS00160,PA14_RS00160,LysR family transcriptional regulator,OG0004866
ABJ14989.1,PA14_00410,WP_003097328.1,PA14_RS00165,PA14_RS00165,DOPA 4%2C5-dioxygenase family protein,OG0004867
ABJ14990.1,PA14_00420,WP_003097330.1,PA14_RS00170,PA14_RS00170,Hpt domain-containing protein,OG0004868
ABJ14991.1,PA14_00430,WP_003111192.1,PA14_RS00175,PA14_RS00175,response regulator transcription factor,OG0000026
ABJ14992.1,PA14_00440,WP_003097337.1,PA14_RS00180,trpA,tryptophan synthase subunit alpha,OG0004869
ABJ14993.1,PA14_00450,WP_003142212.1,PA14_RS00185,trpB,tryptophan synthase subunit beta,OG0004870
ABJ14994.1,PA14_00460,WP_003142214.1,PA14_RS00190,trpI,trpBA operon transcriptional activator TrpI,OG0004871
ABJ14995.1,PA14_00470,WP_003097345.1,PA14_RS00195,PA14_RS00195,dodecin family protein,OG0004872
ABJ14996.1,PA14_00480,WP_003097347.1,PA14_RS00200,PA14_RS00200,DUF1161 domain-containing protein,OG0004873
ABJ14997.1,PA14_00490,WP_011666522.1,PA14_RS00205,tpsB2,two-partner secretion system transporter TpsB2,OG0000165
ABJ14998.1,PA14_00510,WP_011666523.1,PA14_RS00210,tpsA2,two-partner secretion system putative hemagglutinin TpsA2,OG0000164
ABJ14999.1,PA14_00520,,,,,
ABJ15000.1,PA14_00530,WP_003083536.1,PA14_RS00220,PA14_RS00220,hypothetical protein,OG0004874
ABJ15001.1,PA14_00550,WP_003136947.1,,,,OG0004875
ABJ15002.1,PA14_00560,WP_003136948.1,PA14_RS00230,exoT,T3SS effector bifunctional cytotoxin exoenzyme T,OG0004876
ABJ15003.1,PA14_00570,WP_003083559.1,PA14_RS00235,PA14_RS00235,CsgG/HfaB family protein,OG0004877
ABJ15004.1,PA14_00580,WP_003083569.1,PA14_RS00240,PA14_RS00240,DUF4810 domain-containing protein,OG0004878
ABJ15005.1,PA14_00590,WP_003083573.1,PA14_RS00245,PA14_RS00245,DUF799 domain-containing protein,OG0004879
ABJ15006.1,PA14_00600,WP_003104304.1,PA14_RS00250,PA14_RS00250,helix-turn-helix transcriptional regulator,OG0004880
ABJ15007.1,PA14_00620,WP_003136949.1,PA14_RS00255,PA14_RS00255,hypothetical protein,OG0004881
ABJ15008.1,PA14_00630,WP_016254349.1,PA14_RS31505,PA14_RS31505,hypothetical protein,OG0000267
ABJ15008.1,PA14_00630, WP_003083582.1,,,,OG0000267
ABJ15009.1,PA14_00640,WP_003111526.1,PA14_RS00265,asnB,asparagine synthase (glutamine-hydrolyzing),OG0004882
ABJ15010.1,PA14_00650,WP_003083588.1,PA14_RS00270,PA14_RS00270,cupin domain-containing protein,OG0004883
ABJ15011.1,PA14_00660,WP_003136950.1,PA14_RS00275,PA14_RS00275,RNA 2'-phosphotransferase,OG0004884
ABJ15012.1,PA14_00670,WP_003083593.1,PA14_RS00280,PA14_RS00280,DUF1993 family protein,OG0004885
ABJ15013.1,PA14_00680,WP_003128174.1,PA14_RS00285,osaR,oxidative stress response transcriptional regulator OsaR,OG0004886
ABJ15014.1,PA14_00690,WP_003083599.1,PA14_RS00290,PA14_RS00290,MBL fold metallo-hydrolase,OG0004887
ABJ15015.1,PA14_00700,WP_003136951.1,PA14_RS00295,dsbM,disulfide reductase DsbM,OG0004888
ABJ15016.1,PA14_00710,WP_003118563.1,PA14_RS00300,PA14_RS00300,OsmC family protein,OG0004889
ABJ15017.1,PA14_00720,WP_003114662.1,PA14_RS00305,PA14_RS00305,DUF1161 domain-containing protein,OG0004890
ABJ15018.1,PA14_00730,WP_003083612.1,PA14_RS00310,PA14_RS00310,hypothetical protein,OG0004891
ABJ15019.1,PA14_00740,WP_011666524.1,PA14_RS00315,PA14_RS00315,hypothetical protein,OG0004892
ABJ15020.1,PA14_00750,WP_003136953.1,PA14_RS00320,PA14_RS00320,aminopeptidase,OG0004893
ABJ15021.1,PA14_00760,WP_003114660.1,PA14_RS00325,PA14_RS00325,hypothetical protein,OG0004894
ABJ15022.1,PA14_00770,WP_003106611.1,PA14_RS00330,PA14_RS00330,HAD family hydrolase,OG0004895
ABJ15023.1,PA14_00780,WP_003106612.1,PA14_RS00335,PA14_RS00335,gamma carbonic anhydrase family protein,OG0004896
ABJ15024.1,PA14_00790,WP_003136955.1,PA14_RS00340,prlC,oligopeptidase A,OG0004897
ABJ15025.1,PA14_00800,WP_003083624.1,PA14_RS00345,PA14_RS00345,YheV family putative metal-binding protein,OG0004898
ABJ15026.1,PA14_00810,WP_003083628.1,PA14_RS00350,PA14_RS00350,PA0069 family radical SAM protein,OG0004899
ABJ15027.1,PA14_00820,WP_003083630.1,PA14_RS00355,tagQ,type VI secretion system-associated lipoprotein TagQ,OG0004900
ABJ15028.1,PA14_00830,WP_003083632.1,PA14_RS00360,tagR,type VI secretion system-associated regulator TagR,OG0004901
ABJ15029.1,PA14_00850,WP_003136958.1,PA14_RS00365,tagS,type IV secretion associated ABC transporter permease TagS,OG0004902
ABJ15030.1,PA14_00860,WP_003136959.1,PA14_RS00370,tagT,type IV secretion associated ABC transporter ATP-binding protein TagT,OG0004903
ABJ15671.1,PA14_00875,WP_003136961.1,PA14_RS00375,ppkA,serine/threonine protein kinase PpkA,OG0005470
ABJ15031.1,PA14_00890,WP_003083639.1,PA14_RS00380,pppA,serine/threonine phosphatase PppA,OG0004904
ABJ15032.1,PA14_00900,WP_003083642.1,PA14_RS00385,tagF,type VI secretion system-associated protein TagF,OG0004905
ABJ15033.1,PA14_00910,WP_003111851.1,PA14_RS00390,tssM,type VI secretion system membrane subunit TssM,OG0004906
ABJ15641.1,PA14_00925,WP_003115051.1,PA14_RS00395,PA14_RS00395,DotU family type VI secretion system protein,OG0005445
ABJ15034.1,PA14_00940,WP_003115052.1,PA14_RS00400,tssK,type VI secretion system baseplate subunit TssK,OG0004907
ABJ15035.1,PA14_00960,WP_003083660.1,PA14_RS00405,tssJ,type VI secretion system lipoprotein TssJ,OG0004908
ABJ15036.1,PA14_00970,,,,,
ABJ15037.1,PA14_00980,,,,,
ABJ15038.1,PA14_00990,WP_003111627.1,PA14_RS00415,tssA,type VI secretion system protein TssA,OG0004909
ABJ15039.1,PA14_01010,WP_003083666.1,PA14_RS00420,tssB,type VI secretion system contractile sheath small subunit,OG0004910
ABJ15040.1,PA14_01020,WP_003111626.1,PA14_RS00425,tssC,type VI secretion system contractile sheath large subunit,OG0000155
ABJ15041.1,PA14_01030,WP_003083670.1,PA14_RS00430,hcp,type VI secretion system receptor/chaperone Hcp,OG0004911
ABJ15042.1,PA14_01040,WP_003119488.1,PA14_RS00435,tagJ,type VI secretion system accessory protein TagJ,OG0004912
ABJ15043.1,PA14_01060,WP_003111625.1,PA14_RS00440,tssE,type VI secretion system baseplate subunit TssE,OG0004913
ABJ15044.1,PA14_01070,WP_003083676.1,PA14_RS00445,tssF,type VI secretion system baseplate subunit TssF,OG0004914
ABJ15045.1,PA14_01080,WP_003104969.1,PA14_RS00450,tssG,type VI secretion system baseplate subunit TssG,OG0004915
ABJ15046.1,PA14_01100,WP_003136970.1,PA14_RS00455,tssH,type VI secretion system ATPase TssH,OG0000156
ABJ15047.1,PA14_01110,WP_011666527.1,PA14_RS00460,vgrG1a,type VI secretion system spike protein VgrG1a,OG0000025
ABJ15048.1,PA14_01120,WP_003111794.1,PA14_RS00465,PA14_RS00465,immunity protein Tsi6 family protein,OG0004916
ABJ15049.1,PA14_01130,WP_003083689.1,PA14_RS00470,tis1,T6SS immunity factor Tis1,OG0004917
ABJ15050.1,PA14_01140,WP_003083691.1,PA14_RS00475,tas1,T6SS effector (p)ppApp synthetase Tas1,OG0004918
ABJ15051.1,PA14_01150,WP_003083692.1,PA14_RS00480,eagT6,type VI secretion system effector EagT6,OG0004919
ABJ15052.1,PA14_01160,WP_011666529.1,PA14_RS00485,vgrG1b,type VI secretion system spike protein VgrG1b,OG0000025
ABJ15053.1,PA14_01170,WP_003136987.1,PA14_RS00490,PA14_RS00490,DUF6484 domain-containing protein,OG0004920
ABJ15054.1,PA14_01180,WP_016254347.1,PA14_RS00495,PA14_RS00495,DUF2169 domain-containing protein,OG0004921
ABJ15055.1,PA14_01190,WP_003136990.1,PA14_RS00500,PA14_RS00500,3-oxoacyl-ACP synthase,OG0004922
ABJ15056.1,PA14_01200,WP_003136992.1,PA14_RS00505,PA14_RS00505,DUF4150 domain-containing protein,OG0004923
ABJ15057.1,PA14_01220,WP_003136994.1,PA14_RS00510,PA14_RS00510,hypothetical protein,OG0004924
ABJ15058.1,PA14_01230,WP_003136996.1,PA14_RS00515,PA14_RS00515,TIGR02270 family protein,OG0004925
ABJ15059.1,PA14_01240,WP_003083701.1,PA14_RS00520,PA14_RS00520,carbonic anhydrase,OG0000132
ABJ15060.1,PA14_01250,WP_003136999.1,PA14_RS00525,PA14_RS00525,SulP family inorganic anion transporter,OG0004926
ABJ15061.1,PA14_01270,,,,,
ABJ15062.1,PA14_01290,WP_003101203.1,PA14_RS00535,coxB,cytochrome c oxidase subunit II,OG0004927
ABJ15063.1,PA14_01300,WP_003083723.1,PA14_RS00540,ctaD,cytochrome c oxidase subunit I,OG0004928
ABJ15064.1,PA14_01310,WP_003083725.1,PA14_RS00545,PA14_RS00545,cytochrome c oxidase assembly protein,OG0004929
ABJ15065.1,PA14_01320,WP_003083728.1,PA14_RS00550,PA14_RS00550,cytochrome c oxidase subunit 3,OG0004930
ABJ15066.1,PA14_01330,WP_003110653.1,PA14_RS00555,PA14_RS00555,twin transmembrane helix small protein,OG0004931
ABJ15067.1,PA14_01340,WP_003119510.1,PA14_RS00560,PA14_RS00560,hypothetical protein,OG0004932
ABJ15068.1,PA14_01350,WP_003101218.1,PA14_RS00565,PA14_RS00565,hypothetical protein,OG0004933
ABJ15069.1,PA14_01360,WP_003137003.1,PA14_RS00570,PA14_RS00570,COX15/CtaA family protein,OG0004934
ABJ15070.1,PA14_01380,WP_003083746.1,PA14_RS00575,cyoE,heme o synthase,OG0004935
ABJ15071.1,PA14_01390,WP_003083748.1,PA14_RS00580,senC,cytochrome c oxidase copper chaperone SenC,OG0004936
ABJ15072.1,PA14_01400,WP_003083750.1,PA14_RS00585,PA14_RS00585,GNAT family N-acetyltransferase,OG0004937
ABJ15073.1,PA14_01410,WP_003083753.1,PA14_RS00590,PA14_RS00590,helix-turn-helix domain-containing protein,OG0000175
ABJ15074.1,PA14_01430,WP_003083755.1,PA14_RS00595,PA14_RS00595,SDR family oxidoreductase,OG0004938
ABJ15075.1,PA14_01440,WP_003083757.1,PA14_RS00600,PA14_RS00600,2-hydroxychromene-2-carboxylate isomerase,OG0004939
ABJ15076.1,PA14_01460,WP_003137006.1,PA14_RS00605,PA14_RS00605,C4-dicarboxylate transporter DctA,OG0000070
ABJ15077.1,PA14_01470,WP_003083762.1,PA14_RS00610,PA14_RS00610,FadR/GntR family transcriptional regulator,OG0004940
ABJ15078.1,PA14_01480,WP_003110658.1,PA14_RS00615,PA14_RS00615,GntR family transcriptional regulator,OG0004941
ABJ15079.1,PA14_01490,WP_003110659.1,PA14_RS00620,PA14_RS00620,aegerolysin family protein,OG0004942
ABJ15080.1,PA14_01500,WP_003083769.1,PA14_RS00625,PA14_RS00625,LysR family transcriptional regulator,OG0004943
ABJ15081.1,PA14_01510,WP_003083773.1,PA14_RS00630,parE,type II toxin-antitoxin system toxin ParE,OG0004944
ABJ15082.1,PA14_01520,WP_003137009.1,PA14_RS00635,PA14_RS00635,CopG family ribbon-helix-helix protein,OG0004945
ABJ15083.1,PA14_01540,WP_003137011.1,PA14_RS00640,PA14_RS00640,hypothetical protein,OG0004946
ABJ15084.1,PA14_01550,WP_003137013.1,PA14_RS00645,PA14_RS00645,LEA type 2 family protein,OG0004947
ABJ15085.1,PA14_01560,WP_003101229.1,PA14_RS00650,PA14_RS00650,zinc ribbon domain-containing protein YjdM,OG0004948
ABJ15086.1,PA14_01580,WP_003137015.1,PA14_RS00655,gabP,GABA permease,OG0004949
ABJ15087.1,PA14_01600,WP_003101230.1,PA14_RS00660,PA14_RS00660,CoA-acylating methylmalonate-semialdehyde dehydrogenase,OG0000014
ABJ15088.1,PA14_01610,WP_003083790.1,PA14_RS00665,bauB,beta-alanine degradation protein BauB,OG0004950
ABJ15089.1,PA14_01620,WP_003101231.1,PA14_RS00670,bauA,beta-alanine--pyruvate aminotransferase,OG0000223
ABJ15090.1,PA14_01640,WP_003083805.1,PA14_RS00675,bauR,HTH-type transcriptional activator BauR,OG0004951
ABJ15091.1,PA14_01660,WP_003137018.1,PA14_RS00680,guaD,guanine deaminase,OG0000094
ABJ15092.1,PA14_01670,WP_003137020.1,PA14_RS00690,PA14_RS00690,ABC transporter ATP-binding protein,OG0004952
ABJ15093.1,PA14_01680,WP_003107144.1,PA14_RS00695,PA14_RS00695,ABC transporter permease,OG0004953
ABJ15094.1,PA14_01690,WP_011666530.1,PA14_RS00700,PA14_RS00700,ABC transporter permease,OG0004954
ABJ15095.1,PA14_01710,WP_003083828.1,PA14_RS00705,ahpC,alkyl hydroperoxide reductase subunit C,OG0004955
ABJ15096.1,PA14_01720,WP_003137023.1,PA14_RS00710,ahpF,alkyl hydroperoxide reductase subunit F,OG0004956
ABJ15097.1,PA14_01730,WP_003137024.1,PA14_RS00715,ppk2,polyphosphate kinase 2,OG0000159
ABJ15098.1,PA14_01750,WP_003137026.1,PA14_RS00720,PA14_RS00720,8-oxoguanine deaminase,OG0004957
ABJ15099.1,PA14_01760,WP_003137027.1,PA14_RS00725,PA14_RS00725,nucleoside hydrolase,OG0004958
ABJ15100.1,PA14_01770,WP_003083838.1,PA14_RS00730,PA14_RS00730,outer membrane protein OmpK,OG0004959
ABJ15101.1,PA14_01780,WP_003083840.1,PA14_RS00735,PA14_RS00735,nucleoside 2-deoxyribosyltransferase,OG0000227
ABJ15102.1,PA14_01790,WP_003137030.1,PA14_RS00740,PA14_RS00740,nucleoside 2-deoxyribosyltransferase,OG0000227
ABJ15103.1,PA14_01800,WP_003137032.1,PA14_RS00745,PA14_RS00745,BMP family ABC transporter substrate-binding protein,OG0004960
ABJ15104.1,PA14_01810,WP_003106716.1,PA14_RS00750,PA14_RS00750,2OG-Fe(II) oxygenase,OG0004961
ABJ15105.1,PA14_01830,WP_003083850.1,PA14_RS00755,PA14_RS00755,adenosine deaminase,OG0004962
ABJ15106.1,PA14_01840,WP_003112642.1,PA14_RS00760,PA14_RS00760,RNA polymerase sigma factor,OG0004963
ABJ15107.1,PA14_01860,WP_003137034.1,PA14_RS00765,PA14_RS00765,FecR family protein,OG0004964
ABJ15108.1,PA14_01870,WP_003137036.1,PA14_RS00770,PA14_RS00770,TonB-dependent receptor,OG0004965
ABJ15109.1,PA14_01890,WP_016254344.1,PA14_RS00775,pcaQ,pca operon transcription factor PcaQ,OG0004966
ABJ15110.1,PA14_01900,WP_003102187.1,PA14_RS00780,pcaH,protocatechuate 3%2C4-dioxygenase subunit beta,OG0004967
ABJ15111.1,PA14_01910,WP_003137038.1,PA14_RS00785,pcaG,protocatechuate 3%2C4-dioxygenase subunit alpha,OG0004968
ABJ15112.1,PA14_01930,WP_003137039.1,PA14_RS00790,PA14_RS00790,helix-turn-helix domain-containing protein,OG0004969
ABJ15113.1,PA14_01940,WP_003137041.1,PA14_RS00795,triA,triclosan efflux RND transporter adaptor protein TriA,OG0004970
ABJ15114.1,PA14_01960,WP_003083872.1,PA14_RS00800,triB,triclosan efflux RND transporter adaptor protein TriB,OG0004971
ABJ15115.1,PA14_01970,WP_003137043.1,PA14_RS00805,triC,triclosan efflux RND transporter permease subunit TriC,OG0000200
ABJ15116.1,PA14_01980,WP_003083876.1,PA14_RS00810,PA14_RS00810,LysR family transcriptional regulator,OG0000005
ABJ15117.1,PA14_01990,WP_003083879.1,PA14_RS00815,PA14_RS00815,hypothetical protein,OG0004972
ABJ15118.1,PA14_02010,,,,,
ABJ15119.1,PA14_02020,WP_003112121.1,PA14_RS00825,PA14_RS00825,OprD family porin,OG0004973
ABJ15120.1,PA14_02030,WP_003083886.1,PA14_RS00830,PA14_RS00830,helix-turn-helix transcriptional regulator,OG0004974
ABJ15121.1,PA14_02050,WP_003137047.1,PA14_RS00835,PA14_RS00835,gamma-glutamyltransferase family protein,OG0004975
ABJ15122.1,PA14_02060,WP_003102209.1,PA14_RS00845,PA14_RS00845,hypothetical protein,OG0004976
ABJ15123.1,PA14_02070,WP_003083900.1,PA14_RS00850,PA14_RS00850,nucleobase:cation symporter-2 family protein,OG0004977
ABJ15124.1,PA14_02090,WP_003137048.1,PA14_RS00855,PA14_RS00855,TetR/AcrR family transcriptional regulator,OG0004978
ABJ15125.1,PA14_02100,WP_003137049.1,PA14_RS00860,PA14_RS00860,IMPACT family protein,OG0004979
ABJ15126.1,PA14_02110,WP_003083910.1,PA14_RS00865,siaD,biofilm formation regulator diguanylate cyclase SiaD,OG0004980
ABJ15127.1,PA14_02130,WP_003083913.1,PA14_RS00870,siaC,biofilm formation regulator SiaD modulator protein SiaC,OG0004981
ABJ15128.1,PA14_02140,WP_003083916.1,PA14_RS00875,siaB,biofilm formation regulator kinase SiaB,OG0004982
ABJ15129.1,PA14_02150,WP_003083920.1,PA14_RS00880,siaA,biofilm regulation protein phosphatase SiaA,OG0004983
ABJ15130.1,PA14_02180,WP_003137050.1,PA14_RS00885,PA14_RS00885,chemotaxis response regulator protein-glutamate methylesterase,OG0004984
ABJ15131.1,PA14_02190,WP_003137051.1,PA14_RS00890,cheD,chemoreceptor glutamine deamidase CheD,OG0004985
ABJ15132.1,PA14_02200,WP_003083930.1,PA14_RS00895,PA14_RS00895,chemotaxis protein CheR,OG0004986
ABJ15133.1,PA14_02220,WP_003137052.1,PA14_RS00900,aer2,aerotaxis transducer Aer2,OG0004987
ABJ15134.1,PA14_02230,WP_003083938.1,PA14_RS00905,PA14_RS00905,chemotaxis protein CheW,OG0004988
ABJ15135.1,PA14_02250,WP_003137053.1,PA14_RS00910,PA14_RS00910,chemotaxis protein CheA,OG0004989
ABJ15136.1,PA14_02260,WP_003083943.1,PA14_RS00915,PA14_RS00915,response regulator,OG0004990
ABJ15137.1,PA14_02270,WP_369808670.1,,,,OG0004991
ABJ15138.1,PA14_02290,WP_003137057.1,PA14_RS00925,PA14_RS00925,LysR family transcriptional regulator,OG0004992
ABJ15139.1,PA14_02300,WP_003083953.1,PA14_RS00930,PA14_RS00930,3-oxoacyl-ACP reductase FabG,OG0004993
ABJ15140.1,PA14_02310,WP_003137060.1,PA14_RS00935,atsA,arylsulfatase AtsA,OG0004994
ABJ15141.1,PA14_02330,WP_003137062.1,PA14_RS00940,PA14_RS00940,ABC transporter ATP-binding protein,OG0004995
ABJ15142.1,PA14_02340,WP_003110981.1,PA14_RS00945,PA14_RS00945,ABC transporter permease,OG0004996
ABJ15143.1,PA14_02360,WP_003112655.1,PA14_RS00950,PA14_RS00950,ABC transporter substrate-binding protein,OG0004997
ABJ15144.1,PA14_02370,WP_003137064.1,PA14_RS00955,PA14_RS00955,OprD family porin,OG0004998
ABJ15145.1,PA14_02380,WP_003137066.1,PA14_RS00960,PA14_RS00960,phosphatase PAP2 family protein,OG0004999
ABJ15146.1,PA14_02390,WP_003137069.1,PA14_RS00965,PA14_RS00965,LysR family transcriptional regulator,OG0005000
ABJ15147.1,PA14_02410,WP_003083968.1,PA14_RS00970,PA14_RS00970,TonB-dependent receptor,OG0005001
ABJ15148.1,PA14_02420,WP_003110976.1,PA14_RS00975,PA14_RS00975,TauD/TfdA family dioxygenase,OG0005002
ABJ15642.1,PA14_02435,WP_003137071.1,PA14_RS00980,PA14_RS00980,TauD/TfdA family dioxygenase,OG0005446
ABJ15149.1,PA14_02450,WP_003083972.1,PA14_RS00985,PA14_RS00985,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha,OG0005003
ABJ15150.1,PA14_02460,WP_003083974.1,PA14_RS00990,PA14_RS00990,NAD(P) transhydrogenase subunit alpha,OG0005004
ABJ15151.1,PA14_02470,WP_003083975.1,PA14_RS00995,PA14_RS00995,NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta,OG0005005
ABJ15152.1,PA14_02490,WP_003117234.1,PA14_RS01000,PA14_RS01000,energy transducer TonB,OG0005006
ABJ15153.1,PA14_02500,WP_003083979.1,PA14_RS01005,PA14_RS01005,MotA/TolQ/ExbB proton channel family protein,OG0005007
ABJ15154.1,PA14_02510,WP_003106175.1,PA14_RS01010,PA14_RS01010,biopolymer transporter ExbD,OG0005008
ABJ15155.1,PA14_02520,WP_003111981.1,PA14_RS01015,PA14_RS01015,DUF3079 domain-containing protein,OG0005009
ABJ15156.1,PA14_02530,WP_003106176.1,PA14_RS01020,PA14_RS01020,alpha/beta hydrolase,OG0005010
ABJ15157.1,PA14_02550,WP_003083990.1,PA14_RS01025,mdcA,malonate decarboxylase subunit alpha,OG0005011
ABJ15158.1,PA14_02560,WP_003137092.1,PA14_RS01030,PA14_RS01030,triphosphoribosyl-dephospho-CoA synthase,OG0005012
ABJ15159.1,PA14_02570,WP_003084001.1,PA14_RS01035,PA14_RS01035,malonate decarboxylase subunit delta,OG0005013
ABJ15160.1,PA14_02580,WP_003084003.1,PA14_RS01040,PA14_RS01040,biotin-independent malonate decarboxylase subunit beta,OG0005014
ABJ15161.1,PA14_02590,WP_003137094.1,PA14_RS01045,mdcE,biotin-independent malonate decarboxylase subunit gamma,OG0005015
ABJ15162.1,PA14_02610,WP_003137096.1,PA14_RS01050,PA14_RS01050,malonate decarboxylase holo-ACP synthase,OG0005016
ABJ15163.1,PA14_02620,WP_003137098.1,PA14_RS01055,mdcH,malonate decarboxylase subunit epsilon,OG0005017
ABJ15164.1,PA14_02630,WP_003110240.1,PA14_RS01060,madL,malonate transporter subunit MadL,OG0005018
ABJ15165.1,PA14_02640,WP_003084016.1,PA14_RS01065,madM,malonate transporter subunit MadM,OG0005019
ABJ15166.1,PA14_02650,WP_003084019.1,PA14_RS01070,PA14_RS01070,LysR substrate-binding domain-containing protein,OG0005020
ABJ15167.1,PA14_02660,WP_003084035.1,PA14_RS01075,PA14_RS01075,LysR substrate-binding domain-containing protein,OG0005021
ABJ15168.1,PA14_02680,WP_003084042.1,PA14_RS01080,PA14_RS01080,aldehyde dehydrogenase,OG0000028
ABJ15169.1,PA14_02690,WP_003084045.1,PA14_RS01085,PA14_RS01085,APC family permease,OG0005022
ABJ15170.1,PA14_02700,WP_003101901.1,PA14_RS01090,PA14_RS01090,aspartate aminotransferase family protein,OG0000228
ABJ15171.1,PA14_02720,WP_003137100.1,PA14_RS01095,PA14_RS01095,ABC transporter substrate-binding protein,OG0000010
ABJ15172.1,PA14_02730,WP_003110235.1,PA14_RS01100,PA14_RS01100,dihydrodipicolinate synthase family protein,OG0005023
ABJ15173.1,PA14_02740,WP_003084054.1,PA14_RS01105,PA14_RS01105,aldolase,OG0005024
ABJ15174.1,PA14_02750,WP_003112674.1,PA14_RS01110,PA14_RS01110,XRE family transcriptional regulator,OG0005025
ABJ15175.1,PA14_02760,WP_003118609.1,PA14_RS01115,PA14_RS01115,CoA transferase subunit A,OG0005026
ABJ15176.1,PA14_02770,WP_003084062.1,PA14_RS01120,PA14_RS01120,CoA-transferase subunit beta,OG0005027
ABJ15177.1,PA14_02790,WP_003110233.1,PA14_RS01125,pcaF,3-oxoadipyl-CoA thiolase,OG0000196
ABJ15178.1,PA14_02810,WP_003101889.1,PA14_RS01130,PA14_RS01130,MFS family transporter,OG0000226
ABJ15179.1,PA14_02830,WP_003137105.1,PA14_RS01135,PA14_RS01135,3-carboxy-cis%2Ccis-muconate cycloisomerase,OG0005028
