,dimA_dark_mean_rpm,wt_dark_mean_rpm,log2_FC,-log10_pval,protein_ID,common_name,product
gene-PA14_00400,23.91907913065499,28.016033489285135,-0.2280908567879075,1.3019495846252345,cds-ABJ14988.1,PA14_00400,putative transcriptional regulator%2C LysR family
gene-PA14_00410,41.450449829708425,38.1680907028742,0.11902073538066522,1.4392929675567063,cds-ABJ14989.1,PA14_00410,putative dioxygenase
gene-PA14_00420,2.7658756245010774,2.989673105753163,-0.11225142479926685,0.1769411182429804,cds-ABJ14990.1,PA14_00420,putative histidine phosphotransfer domain
gene-PA14_00430,3.7409565919199514,5.107829690464276,-0.44930309272502583,1.8446915002798874,cds-ABJ14991.1,bvga,putative two-component response regulator
gene-PA14_00440,46.29103413943696,52.01928690984689,-0.16831382650185756,0.7717978720531617,cds-ABJ14992.1,trpA,tryptophan synthase alpha chain
gene-PA14_00450,54.65585068893153,69.24430859366251,-0.3413195519562392,1.8293240209102497,cds-ABJ14993.1,trpB,tryptophan synthase beta chain
gene-PA14_00460,12.338748682587015,12.468423487210048,-0.015082967547507403,0.024901998112465944,cds-ABJ14994.1,trpI,trpBA operon transcriptional activator
gene-PA14_00470,140.04190616098478,147.7246618931758,-0.07705209233268667,0.21373199213363217,cds-ABJ14995.1,PA14_00470,conserved hypothetical protein
gene-PA14_00480,347.26770499418336,341.9367059192955,0.022318949718320952,0.08400241814873145,cds-ABJ14996.1,PA14_00480,conserved hypothetical protein
gene-PA14_00490,39.22600908123147,37.91019963781629,0.049224505563651946,0.09185444813073589,cds-ABJ14997.1,PA14_00490,putative hemolysin activation/secretion protein
gene-PA14_00510,72.60357132087283,72.33541683353904,0.005338323249379732,0.009454463983628113,cds-ABJ14998.1,PA14_00510,putative hemagglutinin
gene-PA14_00520,4.291144685017606,3.3014954572329014,0.37824278315933774,1.4103781945987195,cds-ABJ14999.1,PA14_00520,conserved hypothetical protein
gene-PA14_00530,15.729556696878484,15.886640573252707,-0.014336068180383622,0.03684685330558248,cds-ABJ15000.1,PA14_00530,hypothetical protein
gene-PA14_00550,57.96761943057422,59.36842894427173,-0.03444869590614334,0.18484686747702544,cds-ABJ15001.1,PA14_00550,putative membrane protein
gene-PA14_00560,25.46942958549518,23.534086939566247,0.11401476326774562,0.7431397883522884,cds-ABJ15002.1,exoT,exoenzyme T
gene-PA14_00570,52.95452442748308,63.58940458114557,-0.2640324424917176,0.6158544864281139,cds-ABJ15003.1,PA14_00570,putative lipoprotein
gene-PA14_00580,32.60537278737384,35.40574458473289,-0.11887373854680401,0.20529841236698373,cds-ABJ15004.1,PA14_00580,putative lipoprotein
gene-PA14_00590,24.91995255630191,29.172967246266484,-0.22733080317336385,0.42046444592790044,cds-ABJ15005.1,PA14_00590,putative lipoprotein
gene-PA14_00600,13.312201656559127,10.865181131311049,0.2930369428933735,0.4199051300845551,cds-ABJ15006.1,PA14_00600,putative transcriptional regulator
gene-PA14_00620,193.57908321718432,208.30450759421092,-0.10577098466823787,0.11061722198630436,cds-ABJ15007.1,PA14_00620,conserved hypothetical protein
gene-PA14_00630,320.09013594664845,405.6272943313088,-0.34167651365278506,1.1689945154395625,cds-ABJ15008.1,PA14_00630,hypothetical protein
gene-PA14_00640,513.9996369022277,502.74079077952666,0.031952590770000344,0.02764491001238393,cds-ABJ15009.1,phzH,potential phenazine-modifying enzyme
gene-PA14_00650,73.04214457465154,78.84083180836386,-0.11021387151838773,0.13019771116717563,cds-ABJ15010.1,PA14_00650,conserved hypothetical protein
gene-PA14_00660,41.86165949953673,47.52967307188902,-0.1831989693840746,0.8822363177962576,cds-ABJ15011.1,PA14_00660,putative RNA 2'-phosphotransferase
gene-PA14_00670,119.3167606858064,138.83468103256266,-0.2185712819999386,0.6331186229706564,cds-ABJ15012.1,PA14_00670,conserved hypothetical protein
gene-PA14_00680,10.014207792077158,11.316144084553928,-0.17633413824849,0.7024128751152816,cds-ABJ15013.1,PA14_00680,putative transcriptional regulator%2C LysR family
gene-PA14_00690,35.21940159100186,39.49041941193835,-0.16513228900404003,1.0924979374365613,cds-ABJ15014.1,PA14_00690,putative metallo-beta-lactamase
gene-PA14_00700,14.23271441761817,16.088824032749113,-0.17684803414504235,0.6625867828914402,cds-ABJ15015.1,PA14_00700,putative protein-disulfide isomerase
gene-PA14_00710,79.73605159268274,105.39295108319747,-0.40247430292626696,0.9524050766933319,cds-ABJ15016.1,osmC,osmotically inducible protein OsmC
gene-PA14_00720,67.36810312033127,73.39926887086823,-0.12370001268461103,0.300531025261719,cds-ABJ15017.1,PA14_00720,conserved hypothetical protein
gene-PA14_00730,25.55155927344271,26.017779072931898,-0.026086481379464285,0.0956010138417785,cds-ABJ15018.1,PA14_00730,conserved hypothetical protein
gene-PA14_00740,11.594439072925278,13.755290245526838,-0.246553536538259,0.48219998780981427,cds-ABJ15019.1,PA14_00740,putative lipoprotein
gene-PA14_00750,47.45208681011301,53.2521947350154,-0.16636944810337817,1.0075104937593362,cds-ABJ15020.1,PA14_00750,putative aminopeptidase
gene-PA14_00760,51.99688741486471,51.9094061115004,0.002429282493423265,0.010454036708803295,cds-ABJ15021.1,PA14_00760,hypothetical protein
gene-PA14_00770,24.178433293263712,25.962912232370773,-0.1027314495584453,0.4704176360638431,cds-ABJ15022.1,PA14_00770,putative phosphatase
gene-PA14_00780,32.00061358874333,32.32137731017327,-0.014389108465540259,0.06970473437349824,cds-ABJ15023.1,PA14_00780,putative carbonic anhydrases
gene-PA14_00790,506.7048160421655,548.6059441279158,-0.11462471239757097,0.7243935840392695,cds-ABJ15024.1,prlC,oligopeptidase A
gene-PA14_00800,75.87710408425366,77.45744342706769,-0.029739265847682834,0.872645488063615,cds-ABJ15025.1,PA14_00800,putative nucleic-acid-binding protein
gene-PA14_00810,21.220574765402382,18.740596675478923,0.17929683633575427,0.6153705616012196,cds-ABJ15026.1,PA14_00810,putative DNA repair photolyase
gene-PA14_00820,163.9695290109763,196.5643120206454,-0.2615736709585648,1.0134440361488604,cds-ABJ15027.1,PA14_00820,conserved hypothetical protein
gene-PA14_00830,49.84582327900844,53.01555990919394,-0.0889432245544288,0.2562267908571908,cds-ABJ15028.1,PA14_00830,conserved hypothetical protein
gene-PA14_00850,8.914541049454515,9.956482783060752,-0.15947564529953334,0.344948102713217,cds-ABJ15029.1,PA14_00850,putative permease
gene-PA14_00860,7.5294883088352345,8.509531235515675,-0.17652781302430556,0.30637656220911336,cds-ABJ15030.1,PA14_00860,putative ATP-binding component of ABC transporter
gene-PA14_00875,54.98893046484108,63.04924807078023,-0.1973379351695785,1.0670922380272285,cds-ABJ15671.1,ppkA,serine/threonine protein kinase PpkA
gene-PA14_00890,12.598497000914227,12.231871773773781,0.042606439026672355,0.11430447803881981,cds-ABJ15031.1,PA14_00890,putative serine/threonine phosphoprotein phosphatase
gene-PA14_00900,16.877715693782527,15.761253622186116,0.09873736154073533,0.2691772466591252,cds-ABJ15032.1,PA14_00900,conserved hypothetical protein
gene-PA14_00910,62.16712388833798,61.75102004617321,0.009688866812363727,0.025990711127508746,cds-ABJ15033.1,PA14_00910,conserved hypothetical protein
gene-PA14_00925,27.759105168895804,30.977352760711266,-0.15825279267357614,0.6087216239684556,cds-ABJ15641.1,PA14_00925,hypothetical protein
gene-PA14_00940,31.17785746047041,35.01183808266353,-0.16732100897471613,0.401929863452414,cds-ABJ15034.1,PA14_00940,conserved hypothetical protein
gene-PA14_00960,10.965813632360485,11.215683076469972,-0.032504625724913784,0.09731258993930927,cds-ABJ15035.1,PA14_00960,putative lipoprotein
gene-PA14_00970,16.3303212717216,13.950787284678242,0.22720661867282274,0.7567799737734164,cds-ABJ15036.1,PA14_00970,conserved hypothetical protein
gene-PA14_00980,51.50628600554759,57.67694740474271,-0.1632462933367515,0.6455546439928739,cds-ABJ15037.1,PA14_00980,conserved hypothetical protein
gene-PA14_00990,18.589151246664624,18.703264083049895,-0.00882916950498348,0.009260636323038507,cds-ABJ15038.1,PA14_00990,conserved hypothetical protein
gene-PA14_01010,49.35533333903979,57.648831277631984,-0.22408536521280908,0.7139875310072837,cds-ABJ15039.1,PA14_01010,conserved hypothetical protein
gene-PA14_01020,127.64614724155331,135.4689556468215,-0.08581228437242623,0.2098523879009007,cds-ABJ15040.1,PA14_01020,conserved hypothetical protein
gene-PA14_01030,77.85291741516241,79.60523582167068,-0.03211221985419528,0.046867152818975404,cds-ABJ15041.1,PA14_01030,conserved hypothetical protein
gene-PA14_01040,22.746329512558464,22.193132358463426,0.035520455199654265,0.05220363356316002,cds-ABJ15042.1,PA14_01040,putative secretion protein
gene-PA14_01060,7.099823124826282,6.3866646397988305,0.15272036353452573,0.14946568847334335,cds-ABJ15043.1,PA14_01060,conserved hypothetical protein
gene-PA14_01070,24.003995164323396,23.558033489480252,0.027055428190933536,0.03568856004557905,cds-ABJ15044.1,PA14_01070,conserved hypothetical protein
gene-PA14_01080,9.435721284579413,10.402232532660173,-0.1406884697544168,0.18692235219524872,cds-ABJ15045.1,PA14_01080,conserved hypothetical protein
gene-PA14_01100,81.59434794070286,93.91217725823714,-0.2028430169730656,0.4410226726656853,cds-ABJ15046.1,clpB,putative ClpA/B-type chaperone
gene-PA14_01110,39.446602537984084,38.665006435452185,0.028872595051146206,0.050826658875985246,cds-ABJ15047.1,PA14_01110,hypothetical protein
gene-PA14_01120,10.537995311983458,10.208615685809052,0.045813192199816624,0.1243705736397371,cds-ABJ15048.1,PA14_01120,hypothetical protein
gene-PA14_01130,16.187192569873073,20.759390520695973,-0.35891127504608605,1.6314990849493896,cds-ABJ15049.1,PA14_01130,hypothetical protein
gene-PA14_01140,12.546676883752196,11.181182241069607,0.16623254859121045,0.467810093458157,cds-ABJ15050.1,PA14_01140,conserved hypothetical protein
gene-PA14_01150,13.503134127084046,16.108702949822582,-0.25454601658117476,1.3037983586047373,cds-ABJ15051.1,PA14_01150,hypothetical protein
gene-PA14_01160,89.70785897822536,84.42766775006844,0.0875185176079087,0.40547426135843634,cds-ABJ15052.1,PA14_01160,conserved hypothetical protein
gene-PA14_01170,7.9913366562621215,7.849119941452803,0.025905924477074637,0.05787107561390188,cds-ABJ15053.1,PA14_01170,conserved hypothetical protein
gene-PA14_01180,17.721377294388425,17.563438538091845,0.012915412132364934,0.024800551383835304,cds-ABJ15054.1,PA14_01180,conserved hypothetical protein
gene-PA14_01190,12.208388101517238,10.322399279509414,0.24209436765972106,0.7019951833266935,cds-ABJ15055.1,PA14_01190,Putative 3-oxoacyl-(acyl-carrier-protein) synthase
gene-PA14_01200,19.54816556549204,19.621984355560937,-0.005437718424809992,0.02130771456407383,cds-ABJ15056.1,PA14_01200,hypothetical protein
gene-PA14_01220,31.228557673573334,30.42228401494415,0.03773746675743612,0.4770581060068254,cds-ABJ15057.1,PA14_01220,hypothetical protein
gene-PA14_01230,22.704331221654275,22.77977350527527,-0.004785861087154144,0.021553596571911127,cds-ABJ15058.1,PA14_01230,hypothetical protein
gene-PA14_01240,108.01027667294063,123.5249411746617,-0.19363378244505614,0.8538873696192497,cds-ABJ15059.1,PA14_01240,probable carbonic anhydrase
gene-PA14_01250,45.525184197337786,50.99452532154112,-0.1636775124553074,0.8383434166205779,cds-ABJ15060.1,ychM,putative sulfate transporter
gene-PA14_01270,7.169607957284988,7.326270906695727,-0.031184812064396848,0.03809405918445509,cds-ABJ15061.1,PA14_01270,conserved hypothetical protein
gene-PA14_01290,35.514421867714034,28.31427773680743,0.32687526088941166,0.8191942673126872,cds-ABJ15062.1,coxB,cytochrome c oxidase%2C subunit II
gene-PA14_01300,13.826994736403824,9.447483941749503,0.5494855092398381,0.9734194816340825,cds-ABJ15063.1,coxA,cytochrome c oxidase%2C subunit I
gene-PA14_01310,4.42509619420864,3.082176095160525,0.5217593841067041,0.8865840112040552,cds-ABJ15064.1,coxG,putative cytochrome c oxidase assembly protein
gene-PA14_01320,7.9992299694050315,6.059644401586176,0.4006279358699516,0.3721408744708211,cds-ABJ15065.1,coIII,cytochrome c oxidase%2C subunit III
gene-PA14_01330,124.58830692991069,105.33122790890809,0.24223544985141368,0.531504933860516,cds-ABJ15066.1,PA14_01330,conserved hypothetical protein
gene-PA14_01340,5.470302390609196,5.262252305882877,0.05594015272963572,0.09682226814213278,cds-ABJ15067.1,PA14_01340,conserved hypothetical protein
gene-PA14_01350,2.342038069763141,2.6980171232136647,-0.2041348957241696,0.41568471121688183,cds-ABJ15068.1,PA14_01350,conserved hypothetical protein
gene-PA14_01360,2.6125707837264662,2.0092361658484705,0.37882280995595785,0.4508338751579838,cds-ABJ15069.1,ctaA,putative cytochrome oxidase assembly protein
gene-PA14_01380,5.313056260002529,6.353348460734531,-0.25797511414661156,0.43182226790671496,cds-ABJ15070.1,ctaB,putative cytochrome c oxidase assembly factor
gene-PA14_01390,218.19073532103286,232.57583720671758,-0.09211137541567957,0.4480309725838696,cds-ABJ15071.1,PA14_01390,putative Sco1/SenC family protein
gene-PA14_01400,28.013801865523664,25.17618955881625,0.15407783853629825,0.7368868548514099,cds-ABJ15072.1,elaA,putative acyltransferase
gene-PA14_01410,40.35753588125272,40.43578360939592,-0.002794479606677726,0.01069044914151176,cds-ABJ15073.1,PA14_01410,putative transcriptional regulator
gene-PA14_01430,6.4733260149794845,6.935750855652631,-0.09954489649867841,0.3086137076761023,cds-ABJ15074.1,PA14_01430,putative short chain dehydrogenase
gene-PA14_01440,14.772240543403463,13.30721045671114,0.15068047321165493,1.7146809382169257,cds-ABJ15075.1,PA14_01440,putative 2-hydroxychromene-2-carboxylate isomerase
gene-PA14_01460,20.069102189006188,18.40558288399267,0.12483263226077564,0.2307588464286191,cds-ABJ15076.1,dctA,putative dicarboxylate transporter
gene-PA14_01470,20.531263894709287,19.279993184752996,0.09071789560974293,0.35152579409374374,cds-ABJ15077.1,PA14_01470,putative transcriptional regulator
gene-PA14_01480,18.958929109670546,17.251733355559093,0.13613614576919444,0.9775848420558385,cds-ABJ15078.1,PA14_01480,putative transcriptional regulator
gene-PA14_01490,2136.224603262556,1867.3619067285933,0.19406178204420996,0.40508107348754596,cds-ABJ15079.1,PA14_01490,putative hemolysin
gene-PA14_01500,22.279821368524978,23.406002613467127,-0.07114089642724636,0.22163347985994092,cds-ABJ15080.1,PA14_01500,putative transcriptional regulator
gene-PA14_01510,6.650804918479999,6.91984612562747,-0.057210994597880954,0.13622238702433373,cds-ABJ15081.1,PA14_01510,putative plasmid stabilisation system protein
gene-PA14_01520,5.219920574560226,5.685096316942051,-0.12315691356088597,0.21814233665655142,cds-ABJ15082.1,PA14_01520,putative transcriptional regulator
gene-PA14_01540,57.27704339951,65.72399456838376,-0.19846314008811702,1.854578595900578,cds-ABJ15083.1,PA14_01540,hypothetical protein
gene-PA14_01550,22.507258615622863,24.249877451119943,-0.10758710467822467,0.6132454810398094,cds-ABJ15084.1,PA14_01550,putative lipoprotein
gene-PA14_01560,38.355545735646125,38.11390804712304,0.00911764446621204,0.01956167572322878,cds-ABJ15085.1,phnA,putative alkylphosphonate uptake protein
gene-PA14_01580,107.19301208756467,111.85028617916173,-0.06135808753300379,0.16208242099168896,cds-ABJ15086.1,gabP,gamma-aminobutyrate permease
gene-PA14_01600,297.88369461345025,304.9286330548657,-0.033722470536137424,0.17313678282178677,cds-ABJ15087.1,mmsA,putative aldehyde dehydrogenase
gene-PA14_01610,29.546934277570923,28.047263379858162,0.0751484333545272,0.20540956453239922,cds-ABJ15088.1,PA14_01610,conserved hypothetical protein
gene-PA14_01620,186.96449019978334,182.28325654342862,0.036582237610834546,0.06217390781886939,cds-ABJ15089.1,aptA,beta-alanine--pyruvate transaminase
gene-PA14_01640,15.40736057388972,18.433595504269423,-0.25871774731776404,2.861906636189817,cds-ABJ15090.1,PA14_01640,putative transcriptional regulator%2C LysR family
gene-PA14_01660,40.86891814570007,38.07189562681353,0.10227764670622873,0.45037967763066356,cds-ABJ15091.1,guaD,putative guanine deaminase
gene-PA14_01670,6.470867795720824,5.841609557786344,0.147593243738207,0.5151419856545201,cds-ABJ15092.1,PA14_01670,putative ATP-binding component of ABC transporter
gene-PA14_01680,1.433294283470566,1.291135643200633,0.15069416789017673,0.14093844069128197,cds-ABJ15093.1,PA14_01680,putative permease of ABC transporter
gene-PA14_01690,3.127333049918238,3.418066875071231,-0.12824771501322402,0.17319451456965793,cds-ABJ15094.1,PA14_01690,putative permease of ABC transporter
gene-PA14_01710,2438.8229079829107,2060.624464895716,0.2431033951107805,0.3362387314824046,cds-ABJ15095.1,ahpC,alkyl hydroperoxide reductase subunit C
gene-PA14_01720,211.90554630806105,153.02650142147652,0.4696398227000379,0.7934904979939025,cds-ABJ15096.1,ahpF,alkyl hydroperoxide reductase subunit F
gene-PA14_01730,1655.6943293566821,1313.499988310414,0.3340201623763664,1.383324030977691,cds-ABJ15097.1,PA14_01730,conserved hypothetical protein
gene-PA14_01750,43.047292826217436,46.45184098707407,-0.10981326065319155,0.7619901892410543,cds-ABJ15098.1,PA14_01750,putative hydrolase
gene-PA14_01760,551.1102745132711,648.5345581274578,-0.23484242826298402,1.0141520301320062,cds-ABJ15099.1,nuh,nonspecific ribonucleoside hydrolase
gene-PA14_01770,16.28385917646251,14.561729165530451,0.16126095780828895,0.32409241607276684,cds-ABJ15100.1,PA14_01770,putative nucleoside-binding outer membrane protein
gene-PA14_01780,68.68248692593012,70.45427076493313,-0.036744882418119164,0.11197936504080862,cds-ABJ15101.1,PA14_01780,putative nucleoside 2-deoxyribosyltransferase
gene-PA14_01790,35.087654498774434,33.365319508341535,0.07261418987105926,0.42456480581024464,cds-ABJ15102.1,PA14_01790,putative nucleoside 2-deoxyribosyltransferase
gene-PA14_01800,3.173474603331993,3.610245485568466,-0.18603358684376314,0.2880456351974853,cds-ABJ15103.1,PA14_01800,putative basic membrane protein (bmp)
gene-PA14_01810,27.013838469343444,29.54063800144812,-0.12900232947569143,0.5218690682473195,cds-ABJ15104.1,PA14_01810,putative dioxygenase
gene-PA14_01830,65.49017474876884,67.7820365450044,-0.049624502586067806,0.3126630163769782,cds-ABJ15105.1,add,putative adenosine deaminase
gene-PA14_01840,5.143826059850391,4.512530467364363,0.1889051460902855,0.5228852731513627,cds-ABJ15106.1,PA14_01840,putative sigma-70 factor%2C ECF subfamily
gene-PA14_01860,7.494255341459783,8.548278851566959,-0.18984881325392805,0.326451160566202,cds-ABJ15107.1,PA14_01860,putative transmembrane sensor
gene-PA14_01870,6.764825511283628,9.071013253775837,-0.4232109351757465,0.5260094868894898,cds-ABJ15108.1,PA14_01870,putative TonB-dependent receptor
gene-PA14_01890,18.03317474080194,17.829729806311803,0.016368564335354108,0.037958167596949505,cds-ABJ15109.1,pcaQ,transcriptional regulator PcaQ
gene-PA14_01900,10.394656284549557,12.307237570492667,-0.24366490130840487,1.4370771244379035,cds-ABJ15110.1,pcaH,protocatechuate 3%2C4-dioxygenase%2C beta subunit
gene-PA14_01910,8.91331169742642,10.839406394570853,-0.2822522599096964,0.6419158758613746,cds-ABJ15111.1,pcaG,protocatechuate 3%2C4-dioxygenase%2C alpha subunit
gene-PA14_01930,32.67296098722951,38.40609915582601,-0.2332382275750276,0.9981698864840418,cds-ABJ15112.1,pcaR,transcriptional regulator PcaR
gene-PA14_01940,119.65202489030695,126.83261852245327,-0.0840810094750126,0.5305404471882424,cds-ABJ15113.1,PA14_01940,putative RND efflux membrane fusion protein precursor
gene-PA14_01960,101.36795467277925,115.85067616958607,-0.19266481581372427,1.3728325814816205,cds-ABJ15114.1,PA14_01960,putative RND efflux membrane fusion protein precursor
gene-PA14_01970,361.79421809665376,368.411434345832,-0.026148486666946864,0.24779451427257057,cds-ABJ15115.1,PA14_01970,putative RND efflux transporter
gene-PA14_01980,73.93331129584668,70.25021121832192,0.07372196557874226,0.47526253150310366,cds-ABJ15116.1,PA14_01980,putative transcriptional regulator%2C LysR family
gene-PA14_01990,14.102903874115533,13.270229693623486,0.08779890403201822,0.08609968576571923,cds-ABJ15117.1,PA14_01990,hypothetical protein
gene-PA14_02010,8.38885258942277,8.258840076231175,0.022534317825394383,0.016252270040949285,cds-ABJ15118.1,PA14_02010,hypothetical protein
gene-PA14_02020,64.78459645995008,67.78446113851162,-0.06530375707195044,0.14240360762781684,cds-ABJ15119.1,PA14_02020,putative outer membrane porin
gene-PA14_02030,22.673472549092143,25.130495156721384,-0.14843372772573518,0.9717624165082885,cds-ABJ15120.1,PA14_02030,putative transcriptional regulator%2C AraC family
gene-PA14_02050,63.85003470571289,61.7344514851705,0.04861157982506313,0.1936497655547501,cds-ABJ15121.1,PA14_02050,putative gamma-glutamyltranspeptidase
gene-PA14_02060,4.966986084966102,5.991237020739322,-0.27048315439570236,0.48190413120727027,cds-ABJ15122.1,PA14_02060,putative outer membrane protein
gene-PA14_02070,0.7337636553949803,0.7782890588315164,-0.0849905155669969,0.0411119985482786,cds-ABJ15123.1,PA14_02070,putative xanthine/uracil permease
gene-PA14_02090,79.8414290348743,91.39702704339335,-0.19500969299818274,0.7405589043103579,cds-ABJ15124.1,PA14_02090,putative transcriptional regulator%2C TetR family
gene-PA14_02100,61.161462983769546,61.153313536576604,0.00019224442393067965,0.0008017658316236012,cds-ABJ15125.1,PA14_02100,conserved hypothetical protein
gene-PA14_02110,34.84308781643924,40.531008936967936,-0.2181536007931587,0.5769207716725784,cds-ABJ15126.1,PA14_02110,putative GGDEF domain
gene-PA14_02130,16.335112667795997,17.027645466901276,-0.059902548057486245,0.15796838277009073,cds-ABJ15127.1,PA14_02130,hypothetical protein
gene-PA14_02140,13.838971564383213,17.891665399085912,-0.3705509255243504,1.414840788472157,cds-ABJ15128.1,PA14_02140,conserved hypothetical protein
gene-PA14_02150,26.879539639361365,33.4933966322981,-0.31736824981434497,0.7074313669803782,cds-ABJ15129.1,PA14_02150,putative serine phosphatase
gene-PA14_02180,21.53637898810972,19.72898111273047,0.12645924587996615,0.17898342560704245,cds-ABJ15130.1,cheB,glutamate methylesterase
gene-PA14_02190,14.201618381223907,12.254821307417147,0.21270588097917137,0.42690137309756326,cds-ABJ15131.1,cheD,putative chemotaxis protein
gene-PA14_02200,69.29583160691318,61.88684162441648,0.16313587284279074,0.28420413688264734,cds-ABJ15132.1,cheR,putative chemotaxis protein methyltransferase
gene-PA14_02220,571.8203909728951,495.1219518772461,0.20777815215566522,0.4020744905070438,cds-ABJ15133.1,PA14_02220,putative chemotaxis transducer
gene-PA14_02230,44.69795399836479,42.49143246574711,0.07303681296942952,0.11376313308084154,cds-ABJ15134.1,cheW,putative purine-binding chemotaxis protein
gene-PA14_02250,225.78694326367614,185.9989824256717,0.27966733085976975,0.9698866024172338,cds-ABJ15135.1,cheA,putative two-component sensor
gene-PA14_02260,199.31856189937784,166.70239247894023,0.25780125883763033,0.7549158819048617,cds-ABJ15136.1,cheY,putative two-component response regulator
gene-PA14_02270,239.50622687208272,222.702166234869,0.10494757295776105,0.3323010723582152,cds-ABJ15137.1,PA14_02270,putative chemotaxis transducer
