,dimA_light_mean_rpm,wt_light_mean_rpm,log2_FC,-log10_pval,protein_ID,common_name,product
gene-PA14_00150,3.3074358923759797,3.299839678941165,0.0033172579646161436,0.035360852229827246,cds-ABJ14970.1,PA14_00150,hypothetical protein
gene-PA14_00160,47.8125786667779,50.64004845098744,-0.08288856590887334,0.2424682586675425,cds-ABJ14971.1,PA14_00160,putative tetratricopeptide repeat domain
gene-PA14_00170,104.96672600939176,102.00129255937172,0.04134463758184288,0.10767935222900203,cds-ABJ14972.1,trkA,potassium uptake protein TrkA
gene-PA14_00180,92.34349502100639,83.89304261723164,0.13845916334750016,0.32498929307378205,cds-ABJ14973.1,sun,putative tRNA and rRNA cytosine-C5-methylases
gene-PA14_00190,83.70927534209814,80.41618765674757,0.057901544211786504,0.1460773533817649,cds-ABJ14974.1,fmt,methionyl-tRNA formyltransferase
gene-PA14_00200,76.89057343179759,84.85993939636103,-0.14227690670799073,1.0686080526762247,cds-ABJ14975.1,def,polypeptide deformylase
gene-PA14_00210,205.88992548929556,229.47904821366535,-0.15648919978960574,1.7412577609155908,cds-ABJ14976.1,PA14_00210,putative lysin domain
gene-PA14_00230,3.7835087298324375,1.9732173476356263,0.9391743153924677,1.5098337232150554,cds-ABJ14977.1,smf,putative Rossmann fold nucleotide-binding protein
gene-PA14_00240,69.4954740128444,77.1083072007676,-0.14996726925641107,1.9029153660736033,cds-ABJ14978.1,PA14_00240,putative translation factor
gene-PA14_00250,116.28549850793219,117.98045041010295,-0.020876626331307744,0.09089305573622179,cds-ABJ14979.1,qor,quinone oxidoreductase
gene-PA14_00280,138.8025015369226,109.77150443629004,0.3385299702047718,1.027208983162207,cds-ABJ14980.1,hemF,coproporphyrinogen III oxidase%2C aerobic
gene-PA14_00290,62.4620889722687,48.08828243348205,0.37729540946040524,0.9533747616739623,cds-ABJ14981.1,aroE,shikimate dehydrogenase
gene-PA14_00300,455.6911926925249,378.05365724835707,0.2694654752224764,0.5907931844458919,cds-ABJ14982.1,plcB,phospholipase C%2C PlcB
gene-PA14_00310,284.01680173556025,243.78016855074807,0.2203955092600826,0.6751492273237861,cds-ABJ14983.1,PA14_00310,putative peptidyl-prolyl isomerase
gene-PA14_00320,87.5439011272655,72.76415543487595,0.2667787339884749,1.0261267713933615,cds-ABJ14984.1,PA14_00320,conserved hypothetical protein
gene-PA14_00340,5.196960012045989,4.828515930236354,0.10608808569189261,0.303445149901045,cds-ABJ14985.1,PA14_00340,putative sulfate permease
gene-PA14_00360,5.69491041286249,6.283261460108306,-0.1418404285483675,0.7497654742858003,cds-ABJ14986.1,PA14_00360,putative glycine betaine/L-proline ABC transporter%2C periplasmic substrate-binding protein
gene-PA14_00380,12.917049860391304,11.697743322523818,0.14304635128408594,0.4152914994738272,cds-ABJ14987.1,betC,choline sulfatase
gene-PA14_00400,27.314160605911145,26.989221714462712,0.017265712509292236,0.09900564176880816,cds-ABJ14988.1,PA14_00400,putative transcriptional regulator%2C LysR family
gene-PA14_00410,36.940014314495905,37.81123881350652,-0.033630690392907454,0.11671724356569589,cds-ABJ14989.1,PA14_00410,putative dioxygenase
gene-PA14_00420,3.165967645944988,3.2471137602369597,-0.03651139812503655,0.05870259874105695,cds-ABJ14990.1,PA14_00420,putative histidine phosphotransfer domain
gene-PA14_00430,5.322223541254233,6.286675521424958,-0.2402681260100057,0.6164849170494845,cds-ABJ14991.1,bvga,putative two-component response regulator
gene-PA14_00440,52.10208720456044,48.96940462127978,0.08946050932457993,0.3383702508365859,cds-ABJ14992.1,trpA,tryptophan synthase alpha chain
gene-PA14_00450,65.70993023660478,67.98024226810894,-0.04900409171295404,0.20174852907275329,cds-ABJ14993.1,trpB,tryptophan synthase beta chain
gene-PA14_00460,15.098919886707582,14.431722065293437,0.06520188185185163,0.13570084924215192,cds-ABJ14994.1,trpI,trpBA operon transcriptional activator
gene-PA14_00470,181.66829446394274,424.2043220733431,-1.2234526563455113,2.219117790381176,cds-ABJ14995.1,PA14_00470,conserved hypothetical protein
gene-PA14_00480,483.165743680111,1079.4849921020596,-1.159753106491993,1.9809166336770614,cds-ABJ14996.1,PA14_00480,conserved hypothetical protein
gene-PA14_00490,45.29749243767103,41.163462048426545,0.13806685791992718,0.37267813548502193,cds-ABJ14997.1,PA14_00490,putative hemolysin activation/secretion protein
gene-PA14_00510,72.26144847432386,62.93758000878248,0.19930446169685098,0.7123010943532749,cds-ABJ14998.1,PA14_00510,putative hemagglutinin
gene-PA14_00520,3.681647519838558,2.4121962874153424,0.6100038582959008,0.8956927280558771,cds-ABJ14999.1,PA14_00520,conserved hypothetical protein
gene-PA14_00530,21.6905695506782,23.57376620852229,-0.12011432123425071,0.20599435192932508,cds-ABJ15000.1,PA14_00530,hypothetical protein
gene-PA14_00550,60.1347370711912,50.17821687863947,0.2611373979758254,1.6387247967148513,cds-ABJ15001.1,PA14_00550,putative membrane protein
gene-PA14_00560,23.716078824207628,29.978336580249575,-0.3380548160826919,3.5015243388564268,cds-ABJ15002.1,exoT,exoenzyme T
gene-PA14_00570,65.95393166283772,57.21135230046236,0.2051572131346335,0.3606010420387161,cds-ABJ15003.1,PA14_00570,putative lipoprotein
gene-PA14_00580,42.306775381867375,35.14102721034692,0.2677323527325016,0.3985936183418914,cds-ABJ15004.1,PA14_00580,putative lipoprotein
gene-PA14_00590,25.20360901842645,19.799150794735272,0.3481917555017608,0.5001412603664895,cds-ABJ15005.1,PA14_00590,putative lipoprotein
gene-PA14_00600,12.378856123589307,10.341249201775293,0.25946749848883827,0.8233010881943341,cds-ABJ15006.1,PA14_00600,putative transcriptional regulator
gene-PA14_00620,174.56973025216362,125.27183118146127,0.47874137275498946,1.449605534960554,cds-ABJ15007.1,PA14_00620,conserved hypothetical protein
gene-PA14_00630,354.016987813955,235.91379082109097,0.5855588308330093,1.3329193579401113,cds-ABJ15008.1,PA14_00630,hypothetical protein
gene-PA14_00640,452.39466140905125,441.0693125750187,0.03657651610122616,0.07296005673641315,cds-ABJ15009.1,phzH,potential phenazine-modifying enzyme
gene-PA14_00650,44.310747528226614,30.552253132148923,0.5363778629043072,0.7637075096664631,cds-ABJ15010.1,PA14_00650,conserved hypothetical protein
gene-PA14_00660,51.0751266165087,47.89295115310241,0.09280753545105219,0.8772077784406916,cds-ABJ15011.1,PA14_00660,putative RNA 2'-phosphotransferase
gene-PA14_00670,118.75750995642409,118.74317026920862,0.00017421251466781035,0.0005144783739693717,cds-ABJ15012.1,PA14_00670,conserved hypothetical protein
gene-PA14_00680,9.908118107426082,9.186491214741187,0.10909711837767551,0.2402484717308176,cds-ABJ15013.1,PA14_00680,putative transcriptional regulator%2C LysR family
gene-PA14_00690,43.63858578228332,48.93667534877975,-0.16531173695410234,1.7521332973117931,cds-ABJ15014.1,PA14_00690,putative metallo-beta-lactamase
gene-PA14_00700,15.068540091884282,12.492418581037489,0.27048680064687425,0.48015167597476355,cds-ABJ15015.1,PA14_00700,putative protein-disulfide isomerase
gene-PA14_00710,120.74664769763473,388.05541047721687,-1.6842795200925378,3.4940708318338314,cds-ABJ15016.1,osmC,osmotically inducible protein OsmC
gene-PA14_00720,86.03870834518399,142.56523130630836,-0.7285643987058392,1.4239704161807603,cds-ABJ15017.1,PA14_00720,conserved hypothetical protein
gene-PA14_00730,19.329389923919763,18.52997053448101,0.06093551116641518,0.19547659976937706,cds-ABJ15018.1,PA14_00730,conserved hypothetical protein
gene-PA14_00740,9.777044223955533,28.998302018772602,-1.5684979799701095,4.234348296693141,cds-ABJ15019.1,PA14_00740,putative lipoprotein
gene-PA14_00750,49.93754440596852,43.46160371581673,0.20038346338908614,0.404828382421509,cds-ABJ15020.1,PA14_00750,putative aminopeptidase
gene-PA14_00760,57.46944388727538,49.40141505377793,0.2182427149851403,0.9708441806474285,cds-ABJ15021.1,PA14_00760,hypothetical protein
gene-PA14_00770,23.407690057006842,21.232821267307916,0.1406864822631744,0.28841147011949625,cds-ABJ15022.1,PA14_00770,putative phosphatase
gene-PA14_00780,36.64426266511797,35.89782583988875,0.029690864635335348,0.11827360681828544,cds-ABJ15023.1,PA14_00780,putative carbonic anhydrases
gene-PA14_00790,499.477490189654,453.32661846600917,0.1398687854794799,0.45416284381915334,cds-ABJ15024.1,prlC,oligopeptidase A
gene-PA14_00800,84.1447017058196,80.74754536979421,0.05945402756687589,0.43883203277290095,cds-ABJ15025.1,PA14_00800,putative nucleic-acid-binding protein
gene-PA14_00810,21.799758188957053,18.327855224133952,0.250274143678589,1.7918919610391977,cds-ABJ15026.1,PA14_00810,putative DNA repair photolyase
gene-PA14_00820,169.4362773144413,167.96442199953682,0.01258712158506204,0.01577427040777037,cds-ABJ15027.1,PA14_00820,conserved hypothetical protein
gene-PA14_00830,51.55881811885513,48.995416697111665,0.07357239294050008,0.2368159400648839,cds-ABJ15028.1,PA14_00830,conserved hypothetical protein
gene-PA14_00850,8.603218948199862,6.189708591586753,0.4750049556520252,1.279554790620576,cds-ABJ15029.1,PA14_00850,putative permease
gene-PA14_00860,7.151440810041219,5.054254965375727,0.5007353495673971,0.8636589844057889,cds-ABJ15030.1,PA14_00860,putative ATP-binding component of ABC transporter
gene-PA14_00875,53.29565341347689,43.54928615893368,0.2913687961048677,0.5103131188046488,cds-ABJ15671.1,ppkA,serine/threonine protein kinase PpkA
gene-PA14_00890,11.509312324263101,10.30988459330238,0.15877342787650356,0.25216400951000445,cds-ABJ15031.1,PA14_00890,putative serine/threonine phosphoprotein phosphatase
gene-PA14_00900,14.265917362014227,11.718765952365155,0.28375183062741405,0.6800804927536807,cds-ABJ15032.1,PA14_00900,conserved hypothetical protein
gene-PA14_00910,54.627186058744236,46.14326940261862,0.24349887379886914,0.5224814210415651,cds-ABJ15033.1,PA14_00910,conserved hypothetical protein
gene-PA14_00925,27.56781588252416,23.296839944239327,0.24285067887697037,0.5254310620999768,cds-ABJ15641.1,PA14_00925,hypothetical protein
gene-PA14_00940,29.647347410666967,26.901752027593886,0.14020288825663782,0.19175126087449906,cds-ABJ15034.1,PA14_00940,conserved hypothetical protein
gene-PA14_00960,10.950674593433739,7.776777679338861,0.49377525618201085,1.3826341432960052,cds-ABJ15035.1,PA14_00960,putative lipoprotein
gene-PA14_00970,14.958476718275213,14.837971724761372,0.01166936960993378,0.03275006299935097,cds-ABJ15036.1,PA14_00970,conserved hypothetical protein
gene-PA14_00980,44.185521589815075,35.92340961906963,0.29864941416557084,0.8278515780784564,cds-ABJ15037.1,PA14_00980,conserved hypothetical protein
gene-PA14_00990,19.81426392614645,18.290951938823326,0.11540920296255684,0.22593945305348642,cds-ABJ15038.1,PA14_00990,conserved hypothetical protein
gene-PA14_01010,70.39084585300323,85.9171809086561,-0.2875588283008119,0.5246954119356401,cds-ABJ15039.1,PA14_01010,conserved hypothetical protein
gene-PA14_01020,132.9825964180046,138.5904165969273,-0.059590048167307355,0.08195632659432467,cds-ABJ15040.1,PA14_01020,conserved hypothetical protein
gene-PA14_01030,90.27215368721652,97.7047690989166,-0.11414795453120793,0.11991377895097502,cds-ABJ15041.1,PA14_01030,conserved hypothetical protein
gene-PA14_01040,23.160452172152464,21.00098020762596,0.1412067429827152,0.14191770975618465,cds-ABJ15042.1,PA14_01040,putative secretion protein
gene-PA14_01060,5.887699850953179,6.413831525479807,-0.12348229887550917,0.10965960650825025,cds-ABJ15043.1,PA14_01060,conserved hypothetical protein
gene-PA14_01070,25.43994985462254,24.679207559106363,0.04379975319093665,0.05799847563350738,cds-ABJ15044.1,PA14_01070,conserved hypothetical protein
gene-PA14_01080,8.753803235529999,9.623222069335558,-0.13661004053550369,0.162131009070214,cds-ABJ15045.1,PA14_01080,conserved hypothetical protein
gene-PA14_01100,97.69813263204912,91.28087637972527,0.09801834267769917,0.10520848281042222,cds-ABJ15046.1,clpB,putative ClpA/B-type chaperone
gene-PA14_01110,47.93178941719561,47.52809740592293,0.012202149691744185,0.01030363923390748,cds-ABJ15047.1,PA14_01110,hypothetical protein
gene-PA14_01120,10.431215192641597,7.609004655628276,0.45512749986766216,1.2227398399730551,cds-ABJ15048.1,PA14_01120,hypothetical protein
gene-PA14_01130,18.405349613102512,17.451702770851337,0.0767573393790226,0.12677647360525202,cds-ABJ15049.1,PA14_01130,hypothetical protein
gene-PA14_01140,13.14922769758717,13.077161518012785,0.007928637641440923,0.009120619628711723,cds-ABJ15050.1,PA14_01140,conserved hypothetical protein
gene-PA14_01150,16.194146958328446,19.39326129718577,-0.2600829375362576,0.5337378655049261,cds-ABJ15051.1,PA14_01150,hypothetical protein
gene-PA14_01160,81.75992850236,74.87654731464069,0.12688002063817938,0.6244812663308638,cds-ABJ15052.1,PA14_01160,conserved hypothetical protein
gene-PA14_01170,7.584161173840389,6.919435997205784,0.1323351447122157,0.25920638187570205,cds-ABJ15053.1,PA14_01170,conserved hypothetical protein
gene-PA14_01180,20.19582060573364,17.968505558409145,0.1685863279143558,0.2878924169041702,cds-ABJ15054.1,PA14_01180,conserved hypothetical protein
gene-PA14_01190,11.758464768620867,9.82494318472483,0.2591786985781845,0.7851468561460571,cds-ABJ15055.1,PA14_01190,Putative 3-oxoacyl-(acyl-carrier-protein) synthase
gene-PA14_01200,23.011728402560593,22.24944438986007,0.04860003461362714,0.05817701183847528,cds-ABJ15056.1,PA14_01200,hypothetical protein
gene-PA14_01220,40.09147373564239,35.13534158412192,0.19037251806926164,0.3260332060114736,cds-ABJ15057.1,PA14_01220,hypothetical protein
gene-PA14_01230,22.737627997379118,17.90233811147419,0.34493370966042153,0.934388193353739,cds-ABJ15058.1,PA14_01230,hypothetical protein
gene-PA14_01240,105.90183177545106,140.570554188075,-0.40856687029710687,2.560846992769019,cds-ABJ15059.1,PA14_01240,probable carbonic anhydrase
gene-PA14_01250,56.97774640686331,90.19719816002437,-0.6626840424222237,2.4064122198901496,cds-ABJ15060.1,ychM,putative sulfate transporter
gene-PA14_01270,10.833009360412786,15.382953110695595,-0.5058983500008304,1.0580285019006623,cds-ABJ15061.1,PA14_01270,conserved hypothetical protein
gene-PA14_01290,23.941347326821244,13.55787739560096,0.8203729374262536,2.4148335590601664,cds-ABJ15062.1,coxB,cytochrome c oxidase%2C subunit II
gene-PA14_01300,8.657249971950014,5.514381501354027,0.6507095779846743,2.0657439245286793,cds-ABJ15063.1,coxA,cytochrome c oxidase%2C subunit I
gene-PA14_01310,3.6912910350544834,1.996367373865971,0.8867477054250597,1.9028030227359343,cds-ABJ15064.1,coxG,putative cytochrome c oxidase assembly protein
gene-PA14_01320,6.41675232675082,5.30604379172173,0.2742066384797351,0.6591682566270493,cds-ABJ15065.1,coIII,cytochrome c oxidase%2C subunit III
gene-PA14_01330,58.62822488109786,33.72963075602252,0.7975788208648864,1.410807025977482,cds-ABJ15066.1,PA14_01330,conserved hypothetical protein
gene-PA14_01340,4.970000677866367,3.8602942771147775,0.36453507871125723,1.6150629864417168,cds-ABJ15067.1,PA14_01340,conserved hypothetical protein
gene-PA14_01350,2.7549727448431356,1.6539868343321105,0.7360897149814062,1.481600219179017,cds-ABJ15068.1,PA14_01350,conserved hypothetical protein
gene-PA14_01360,2.73352032465839,1.8977276377625716,0.5264867641188403,1.6807459862247989,cds-ABJ15069.1,ctaA,putative cytochrome oxidase assembly protein
gene-PA14_01380,5.143425619979284,4.204046946882226,0.29095065764170086,1.3446849500811158,cds-ABJ15070.1,ctaB,putative cytochrome c oxidase assembly factor
gene-PA14_01390,244.16073023168454,227.04240123702834,0.10486942857000071,0.8177920207735679,cds-ABJ15071.1,PA14_01390,putative Sco1/SenC family protein
gene-PA14_01400,32.369594048611255,37.18663771164234,-0.20014502806132214,0.7378921335533967,cds-ABJ15072.1,elaA,putative acyltransferase
gene-PA14_01410,46.327736638863065,47.02684437370461,-0.02160832538234708,0.05260261956199318,cds-ABJ15073.1,PA14_01410,putative transcriptional regulator
gene-PA14_01430,7.506648406462831,7.744196351417521,-0.04494661011444094,0.07979389940685575,cds-ABJ15074.1,PA14_01430,putative short chain dehydrogenase
gene-PA14_01440,15.337780183939659,15.099360104078011,0.02260228532598599,0.08474860764181219,cds-ABJ15075.1,PA14_01440,putative 2-hydroxychromene-2-carboxylate isomerase
gene-PA14_01460,19.790724098807075,16.241289243122576,0.2851582127908516,0.9605677212331919,cds-ABJ15076.1,dctA,putative dicarboxylate transporter
gene-PA14_01470,14.915221940100013,14.294659369033008,0.06130919625525857,0.093623480425925,cds-ABJ15077.1,PA14_01470,putative transcriptional regulator
gene-PA14_01480,15.07838243111192,13.672505822923393,0.14120397550551614,0.6758592091190478,cds-ABJ15078.1,PA14_01480,putative transcriptional regulator
gene-PA14_01490,1635.922085117033,1182.3466331395869,0.4684509793729027,1.1706521488133086,cds-ABJ15079.1,PA14_01490,putative hemolysin
gene-PA14_01500,27.391233383502453,29.30255340320008,-0.09731215004171086,0.3179966331655068,cds-ABJ15080.1,PA14_01500,putative transcriptional regulator
gene-PA14_01510,7.713494556660094,7.405628753496633,0.05876237185269878,0.16173874750849485,cds-ABJ15081.1,PA14_01510,putative plasmid stabilisation system protein
gene-PA14_01520,4.745480963693744,4.1081525679730975,0.20806447481206708,0.5725636764349789,cds-ABJ15082.1,PA14_01520,putative transcriptional regulator
gene-PA14_01540,51.8174493440955,36.516705904589635,0.5048813540936357,1.7790800101949167,cds-ABJ15083.1,PA14_01540,hypothetical protein
gene-PA14_01550,20.089651738705545,19.777560853681837,0.02258804180031064,0.06595115364865126,cds-ABJ15084.1,PA14_01550,putative lipoprotein
gene-PA14_01560,44.18912249289745,52.88611019893443,-0.2591975770093308,1.7485299977018727,cds-ABJ15085.1,phnA,putative alkylphosphonate uptake protein
gene-PA14_01580,185.11803291598662,186.0778898762603,-0.007461202376483693,0.004996056519083751,cds-ABJ15086.1,gabP,gamma-aminobutyrate permease
gene-PA14_01600,539.0576870959679,509.746394083373,0.0806600058218596,0.053669603457810675,cds-ABJ15087.1,mmsA,putative aldehyde dehydrogenase
gene-PA14_01610,42.18057964219985,36.8128294484437,0.19637027227743709,0.13790408008134744,cds-ABJ15088.1,PA14_01610,conserved hypothetical protein
gene-PA14_01620,288.84636895782984,252.50410497213605,0.19399551568101964,0.143728057871756,cds-ABJ15089.1,aptA,beta-alanine--pyruvate transaminase
gene-PA14_01640,19.82418090049089,18.41218940827012,0.10660005938536916,0.4049725734961356,cds-ABJ15090.1,PA14_01640,putative transcriptional regulator%2C LysR family
gene-PA14_01660,18.612317237072293,23.127133253336932,-0.31332873878169143,1.111597348266734,cds-ABJ15091.1,guaD,putative guanine deaminase
gene-PA14_01670,5.27948844025743,4.055946312085497,0.38035945239945157,0.8437591724199506,cds-ABJ15092.1,PA14_01670,putative ATP-binding component of ABC transporter
gene-PA14_01680,0.8611692195460501,1.101589315697425,-0.3552172033390583,0.44715071065797324,cds-ABJ15093.1,PA14_01680,putative permease of ABC transporter
gene-PA14_01690,2.653974253997631,2.7831085210034257,-0.06854274708713617,0.15064876617628167,cds-ABJ15094.1,PA14_01690,putative permease of ABC transporter
gene-PA14_01710,1625.5528005748438,1393.271435555607,0.2224540680758882,1.192474938195261,cds-ABJ15095.1,ahpC,alkyl hydroperoxide reductase subunit C
gene-PA14_01720,132.56495590921966,96.01187442936337,0.46541468688441634,2.6721503701178184,cds-ABJ15096.1,ahpF,alkyl hydroperoxide reductase subunit F
gene-PA14_01730,877.9170948528981,428.7226592305298,1.034040034218331,1.2871899301949006,cds-ABJ15097.1,PA14_01730,conserved hypothetical protein
gene-PA14_01750,40.29337212682953,36.64238514382469,0.13702912774073361,0.20570002458472486,cds-ABJ15098.1,PA14_01750,putative hydrolase
gene-PA14_01760,589.5867523367981,587.1045726002131,0.006086615278255046,0.013896117630231384,cds-ABJ15099.1,nuh,nonspecific ribonucleoside hydrolase
gene-PA14_01770,15.39743052020846,14.592308088627277,0.07748151483869248,0.23055007288327192,cds-ABJ15100.1,PA14_01770,putative nucleoside-binding outer membrane protein
gene-PA14_01780,66.25637699384833,53.41392170393351,0.31084349571186476,0.5712480900315674,cds-ABJ15101.1,PA14_01780,putative nucleoside 2-deoxyribosyltransferase
gene-PA14_01790,30.026952131921007,23.248985494943412,0.36909025570433407,1.18275841503961,cds-ABJ15102.1,PA14_01790,putative nucleoside 2-deoxyribosyltransferase
gene-PA14_01800,2.933477609412483,2.3184169659023106,0.3394717055084531,0.6048637542168296,cds-ABJ15103.1,PA14_01800,putative basic membrane protein (bmp)
gene-PA14_01810,21.38611045217159,19.074464793945026,0.16503152865125054,0.578110179402192,cds-ABJ15104.1,PA14_01810,putative dioxygenase
gene-PA14_01830,76.99370528798559,73.9223802777687,0.05872928824656644,0.11515007973438125,cds-ABJ15105.1,add,putative adenosine deaminase
gene-PA14_01840,4.724923293032244,4.926817581175322,-0.06036512699399726,0.07139713038258827,cds-ABJ15106.1,PA14_01840,putative sigma-70 factor%2C ECF subfamily
gene-PA14_01860,8.03157640772524,8.437182659768103,-0.07107813857665068,0.12738595387741034,cds-ABJ15107.1,PA14_01860,putative transmembrane sensor
gene-PA14_01870,8.019781894421325,12.60326401748506,-0.6521623982428021,1.1126111385922242,cds-ABJ15108.1,PA14_01870,putative TonB-dependent receptor
gene-PA14_01890,18.04528233591388,18.369158151879642,-0.025663791947536672,0.0680250954622509,cds-ABJ15109.1,pcaQ,transcriptional regulator PcaQ
gene-PA14_01900,12.388770622014276,12.718416385185003,-0.03788601047660674,0.04644692792322425,cds-ABJ15110.1,pcaH,protocatechuate 3%2C4-dioxygenase%2C beta subunit
gene-PA14_01910,9.560547647836286,9.26067614643982,0.04597572066758217,0.0643673102397093,cds-ABJ15111.1,pcaG,protocatechuate 3%2C4-dioxygenase%2C alpha subunit
gene-PA14_01930,37.84611414949984,34.9242142700634,0.1159175157216209,0.18793803469555226,cds-ABJ15112.1,pcaR,transcriptional regulator PcaR
gene-PA14_01940,128.64522972932642,178.86623900192708,-0.4754831374426579,2.5018577464687146,cds-ABJ15113.1,PA14_01940,putative RND efflux membrane fusion protein precursor
gene-PA14_01960,106.64055983997237,132.19991486950494,-0.30996498406557077,1.7778145436544415,cds-ABJ15114.1,PA14_01960,putative RND efflux membrane fusion protein precursor
gene-PA14_01970,420.65734818195637,564.1418681043289,-0.42341246390818693,1.879230524421821,cds-ABJ15115.1,PA14_01970,putative RND efflux transporter
gene-PA14_01980,70.21387629519548,83.74291367451976,-0.2542109322141583,2.293554630890847,cds-ABJ15116.1,PA14_01980,putative transcriptional regulator%2C LysR family
gene-PA14_01990,7.002004717169814,5.826486999863728,0.2651416720388956,1.8707688171921166,cds-ABJ15117.1,PA14_01990,hypothetical protein
gene-PA14_02010,5.522242611711405,2.1417007621623236,1.3664966641705083,1.41106955512169,cds-ABJ15118.1,PA14_02010,hypothetical protein
gene-PA14_02020,60.56355767526125,46.322344642579196,0.38674166527917625,1.4399878403066524,cds-ABJ15119.1,PA14_02020,putative outer membrane porin
gene-PA14_02030,22.61235643182958,23.13761043758841,-0.03312853073781258,0.10688609857986607,cds-ABJ15120.1,PA14_02030,putative transcriptional regulator%2C AraC family
gene-PA14_02050,44.43312904838235,42.096179435169404,0.07794643557416275,0.5014859653783271,cds-ABJ15121.1,PA14_02050,putative gamma-glutamyltranspeptidase
gene-PA14_02060,7.282612790739467,8.803783089317383,-0.2736674025171347,0.7737302834409473,cds-ABJ15122.1,PA14_02060,putative outer membrane protein
gene-PA14_02070,0.5956755367092477,0.44170181244236023,0.43145255345493855,0.4510665075997948,cds-ABJ15123.1,PA14_02070,putative xanthine/uracil permease
gene-PA14_02090,99.37335920040152,100.96063946706015,-0.022861913273371844,0.04976268997845368,cds-ABJ15124.1,PA14_02090,putative transcriptional regulator%2C TetR family
gene-PA14_02100,67.55730593894198,62.50486727197029,0.11214325716203982,0.2180181338960829,cds-ABJ15125.1,PA14_02100,conserved hypothetical protein
gene-PA14_02110,39.96718367135114,39.00441051662637,0.035178644491206223,0.5042278805868078,cds-ABJ15126.1,PA14_02110,putative GGDEF domain
gene-PA14_02130,16.317821369623417,15.002211001362113,0.12127330124783005,0.23702758358856005,cds-ABJ15127.1,PA14_02130,hypothetical protein
gene-PA14_02140,17.414898600358608,17.17437971819053,0.0200640762003021,0.04560641869111806,cds-ABJ15128.1,PA14_02140,conserved hypothetical protein
gene-PA14_02150,34.46126362530411,33.22369416083388,0.05276310439029904,0.11570369249206185,cds-ABJ15129.1,PA14_02150,putative serine phosphatase
gene-PA14_02180,18.372089336923963,12.115203261920707,0.6006970267708729,1.042057432320046,cds-ABJ15130.1,cheB,glutamate methylesterase
gene-PA14_02190,13.684082175126278,7.768409684505663,0.8168073475444158,1.8133406829065244,cds-ABJ15131.1,cheD,putative chemotaxis protein
gene-PA14_02200,71.135120270296,48.13420140483951,0.5634996408399787,1.5794724551057515,cds-ABJ15132.1,cheR,putative chemotaxis protein methyltransferase
gene-PA14_02220,525.4505149349549,338.83083531264805,0.6329897270069964,2.157820991659388,cds-ABJ15133.1,PA14_02220,putative chemotaxis transducer
gene-PA14_02230,41.34052629527508,28.361402072533863,0.5436278735315987,1.7653442703295592,cds-ABJ15134.1,cheW,putative purine-binding chemotaxis protein
gene-PA14_02250,172.35933389332527,121.91513399515384,0.4995421955751547,2.5641470226008143,cds-ABJ15135.1,cheA,putative two-component sensor
gene-PA14_02260,145.26153324184068,93.9164895613539,0.6292023148376086,3.059008644907736,cds-ABJ15136.1,cheY,putative two-component response regulator
gene-PA14_02270,182.76530074111557,151.07513362062093,0.27472596993484566,1.0380342512025695,cds-ABJ15137.1,PA14_02270,putative chemotaxis transducer
gene-PA14_02290,17.693501483285683,13.046381645049271,0.43956979499760196,1.4268308863149088,cds-ABJ15138.1,PA14_02290,putative transcriptional regulator%2C LysR family
